id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
3268690;Bright appartment at the South of Antwerp;13665161;Jozefien;;Zuid;5.120.495;438.977;Entire home/apt;118;2;44;24/02/2019;0.56;1;58
3518676;Charmant appartement op toplocatie!;17717089;Leonie En Ahmed;;Historisch Centrum;5.122.392;440.238;Entire home/apt;104;2;77;8/03/2020;1.02;1;365
3540493;Antwerp City Studio;15709831;Liam;;Amandus - Atheneum;5.121.898;442.506;Entire home/apt;49;2;276;26/07/2020;3.52;1;344
3740347;Authentic place city centre;18578941;Marilyne;;Sint-Andries;5.121.334;440.073;Entire home/apt;110;1;0;;;1;1
3857702;Rooms - Apartment - Studio - City Center Antwerp;19891615;Bart;;Universiteitsbuurt;512.223;440.746;Entire home/apt;180;2;23;29/07/2019;0.31;1;365
3894091;Cosy and bright apartment for 2;12010306;Maïté;;Borgerhout Intra Muros Zuid;5.121.154;443.096;Entire home/apt;65;3;3;20/10/2015;0.04;1;365
3915726;Cosy room: Bikes incl.+free parking;14723014;Aline;;Oosterveld - Elsdonk;5.117.161;442.695;Private room;18;2;64;21/09/2019;1.08;1;243
3969576;Privé kamer te huur;20572492;JackieJ;;Borgerhout Intra Muros Zuid;5.121.183;444.019;Private room;27;1;287;25/12/2020;4.40;4;365
4017995;Studio Daring Indigo;20834666;Greta;;Harmonie;5.120.767;4.407;Private room;75;1;22;16/02/2020;0.31;3;180
4026852;Luxury townhouse close to the center of Antwerp;20878289;Bart;;Hoboken - Centrum;5.117.582;43.474;Private room;46;1;12;1/10/2020;0.85;2;365
4030176;terrace studio in old Post office Park Spoor Noord;9438737;Joel;;Amandus - Atheneum;5.122.677;441.754;Entire home/apt;50;14;145;27/11/2020;1.90;1;357
"4032738,""Leuk dak appartement, 2 slaapkamers"",20906634,Sirene,,Borgerhout Intra Muros Zuid,51.21432,4.4362,Entire home/apt,58,2,17,2019-07-22,0.22,1,0";;;;;;;;;;;;;;;
4064854;Studio Pancake Paste;20834666;Greta;;Harmonie;5.120.835;440.671;Private room;75;1;37;29/11/2019;0.53;3;180
4163391;Spacious & eclectic loft;7500115;Kelly;;Eilandje;512.332;441.039;Entire home/apt;196;2;6;20/10/2018;0.11;1;0
4265913;Cosy 19th c townhouse near Central Station+parking;22144864;Greet;;Stuivenberg;5.121.906;443.022;Entire home/apt;194;5;20;16/03/2020;0.27;2;304
4303323;Den Coninck Achab;22337575;Jerry;;Universiteitsbuurt;5.122.239;441.097;Entire home/apt;135;2;14;5/01/2020;0.19;1;363
4322521;Duplex 160m² with sauna & piano;15216532;Pascal;;Zuid;5.120.582;438.771;Entire home/apt;102;1;229;27/12/2020;3.13;1;1
4332020;Marleen's cosy first floor flat;1754396;Marleen;;Markgrave;5.120.096;440.172;Entire home/apt;50;2;9;16/09/2018;0.14;2;89
4444232;Charming room in center of Antwerp;23065924;Christopher;;Historisch Centrum;5.122.143;440.283;Private room;57;2;86;6/08/2020;1.17;1;365
4502646;Unique city loft with amazing view!;13059720;Yara;;Sint-Andries;5.121.769;439.833;Entire home/apt;79;2;567;16/03/2020;7.67;1;0
4592434;Modern 4 pers appartement Antwerpen;23805604;Gina;;Eilandje;5.122.946;440.614;Entire home/apt;150;2;60;15/03/2020;0.81;1;244
4703827;Spacious loungeroom w/ garden&piano;3015779;Yuri;;Zurenborg;5.120.924;44.251;Private room;29;1;16;3/01/2016;0.22;1;215
"4733497,""Louise Marie, romantisch huisje"",24249803,Michel,,Historisch Centrum,51.21785,4.39927,Entire home/apt,190,2,108,2020-07-19,1.49,1,365";;;;;;;;;;;;;;;
4853293;Duplex in renovated Coach House;24968524;Wim;;Stadspark;5.121.034;441.771;Private room;115;2;1;22/06/2015;0.01;3;362
4980368;Panoramic view restyled appartement;25674863;Sam;;Zurenborg;5.120.579;443.136;Entire home/apt;79;7;6;20/04/2018;0.10;3;365
4985922;Sfeervolle studio in hartje Antwerp;25701603;Nadi;;Theaterbuurt-Meir;5.121.011;440.581;Entire home/apt;75;2;30;2/01/2020;0.44;1;363
5020599;Stylish Rooftop next to CHANEL;13357011;Liselotte;;Theaterbuurt-Meir;5.121.687;440.709;Entire home/apt;99;7;44;16/03/2020;0.61;1;1
5026455;Triplex apt in the heart of Antwerp;4492282;Lies;;Historisch Centrum;5.121.804;439.894;Entire home/apt;171;2;91;16/03/2020;1.26;2;1
5040147;#�NOMBRE?;3185214;Annemie;;Borgerhout Intra Muros Zuid;5.121.161;442.929;Entire home/apt;93;2;63;7/12/2020;0.95;4;247
5047962;Quiet place in an historical quarter;12309348;Luc & Kristina;;Haringrode;5.120.269;442.433;Private room;60;1;132;23/09/2020;1.84;1;365
5074616;Discrete luxury on a top location;26204741;Patrick;;Eilandje;5.123.028;441.823;Entire home/apt;84;3;73;5/10/2020;1.02;1;305
5096851;Double room in cosy and quiet house with garden.;15216025;Paolo;;Deurne Zuid Oost;5.119.984;446.793;Private room;75;1;1;21/05/2018;0.03;1;174
5187760;A-South Luxury Penthouse Living;24007242;Bep;;Zuid;512.124;439.328;Entire home/apt;300;2;34;16/02/2020;0.48;1;309
5223125;Modern flat in the historical centrum  of Antwerp;27027069;Sander;;Historisch Centrum;5.121.835;440.018;Entire home/apt;48;1;339;15/03/2020;4.72;1;297
5233718;Apartment in Antwerp;27086764;Nina;;Theaterbuurt-Meir;5.121.655;441.352;Entire home/apt;93;2;21;11/10/2020;0.29;1;319
"5379855,Classy and spacious 19th cent loft with terrace.,11534275,""Ian, Jande En Marie"",,Borgerhout Intra Muros Zuid,51.21464,4.43446,Entire home/apt,260,2,178,2020-03-08,2.55,1,0";;;;;;;;;;;;;;;
"5417459,""Full house with garden, near by tram"",7553126,Tania,,Hoboken - Centrum,51.17887,4.36301,Entire home/apt,50,2,91,2020-06-21,1.55,1,0";;;;;;;;;;;;;;;
5574536;Central studio in historic center;28902892;AchA;;Historisch Centrum;5.122.019;4.4;Entire home/apt;85;2;100;4/08/2020;1.44;2;359
5575185;Central apartment w/ exclusive view;28902892;AchA;;Historisch Centrum;5.121.873;439.963;Entire home/apt;115;2;215;7/10/2020;3.06;2;285
5578067;Design loft in historic building;28920566;Jasper;;Universiteitsbuurt;5.122.091;44.164;Shared room;85;1;174;15/03/2020;2.49;1;147
5646286;NESTT;4715596;Caroline & Klaas;;Borgerhout Intra Muros Noord;5.121.464;443.711;Entire home/apt;49;2;47;14/10/2020;0.67;2;175
5702020;Where living becomes poetry...;29563257;Isabel;;Sint-Andries;5.121.491;439.732;Entire home/apt;90;2;84;10/11/2019;1.20;1;177
"5741728,""""""la casa di Frà"""""",29779875,""""""La Casa Di Frà"",,Borgerhout Intra Muros Zuid,51.21484,4.43169,Entire home/apt,70,1,34,2018-03-04,0.49,1,0";;;;;;;;;;;;;;;
5789730;Back to Beck;30038566;Marleen;;Deurne Zuid Oost;5.119.612;446.167;Entire home/apt;79;1;41;13/09/2020;0.59;1;304
5922786;Smartflats Meir 301 - 2 Bedrooms - Meir Area;2792958;Alex;;Theaterbuurt-Meir;5.121.902;440.909;Entire home/apt;182;1;50;11/09/2020;0.77;21;1
5923210;Smartflats Meir 401 - 2 Bedrooms - Meir Area;2792958;Alex;;Theaterbuurt-Meir;5.121.857;440.898;Entire home/apt;158;1;24;14/09/2020;0.37;21;331
5923754;Smartflats Meir 501 - 1 Bedroom - Meir Area;2792958;Alex;;Theaterbuurt-Meir;5.121.837;440.868;Entire home/apt;138;1;11;18/09/2020;0.17;21;352
5940310;Adorable happy positive vibes place;4586965;Marie;;Kiel;5.118.236;438.937;Entire home/apt;110;1;52;25/07/2020;0.94;2;363
5994895;Cosy apartment in historic house;11857224;Christel;;Historisch Centrum;5.122.076;439.855;Entire home/apt;118;3;25;9/03/2020;0.37;1;365
6000928;Arendshof;29134589;Guido;;Deurne Oost;5.122.319;448.347;Entire home/apt;135;1;15;29/11/2019;0.25;1;363
6004053;Room at 20 min.' walk from center;31168861;Monique;;Brederode;5.120.399;439.827;Private room;20;10;27;10/09/2018;0.39;1;245
6046872;Feel Good  Antwerp City Apartment;27432928;Anastassya;;Harmonie;512.061;440.915;Entire home/apt;79;3;56;30/11/2020;2.52;1;60
"6051973,""Welcome @Tempor'area, reopening June 8th! :-)"",3970988,Arthur,,Theaterbuurt-Meir,51.21336,4.40415,Entire home/apt,148,2,67,2020-10-15,0.97,1,354";;;;;;;;;;;;;;;
6071213;At Granny's near Rivierenhof;1820186;Fronk & Lieve;;Deurne Oost;5.122.075;447.857;Private room;30;7;9;19/07/2020;0.13;6;365
6149034;Lovely flat with spectacular view!;25673165;Sharon;;Eilandje;5.123.273;440.394;Entire home/apt;40;2;282;6/12/2020;4.09;1;361
6150016;private vintage room in Antwerp;21648784;Samuel;;Borgerhout Intra Muros Zuid;5.121.331;443.286;Private room;50;1;36;16/02/2020;0.52;1;0
6183201;Duplex Studio;31447903;Marjolijn;;Zuid;5.120.649;439.284;Entire home/apt;75;2;50;10/09/2019;0.72;1;182
6183800;Comfy Studio Apartment in Antwerp;32074613;Bart;;Amandus - Atheneum;5.122.801;441.684;Entire home/apt;77;2;38;12/07/2020;0.94;2;25
6271039;Art Tout;20572492;JackieJ;;Borgerhout Intra Muros Zuid;5.121.134;444.073;Private room;35;1;100;28/11/2020;1.46;4;364
6418099;BOOK LOVERS' room near Station;33481052;Anne;;Borgerhout Intra Muros Zuid;5.121.538;442.761;Private room;48;2;285;1/03/2020;4.22;5;365
6428108;Lozana Lodging;33547183;Erik;;Harmonie;5.120.117;440.684;Entire home/apt;105;5;0;;;2;363
6463582;Comfortable accommodation in spacious penthouse;30519050;Bart;;Stuivenberg;5.122.061;443.441;Private room;42;7;106;17/09/2020;1.56;1;89
"6545997,""Penthouse + 60 m2 terras";;;;;;;;;;;;;;;
"Incl. 2 fietsen"",34241163,Peter,,Amandus - Atheneum,51.22376,4.41753,Entire home/apt,69,1,19,2020-03-08,0.28,1,0";;;;;;;;;;;;;;;
6584668;Belle Epoque Townhouse Antwerp;9629145;Tom;;Stadspark;5.120.914;441.327;Entire home/apt;536;2;111;3/11/2020;1.68;1;80
6585827;Quiet room close to Central Station;33481052;Anne;;Centraal Station;5.121.614;442.675;Private room;39;2;151;1/03/2020;2.26;5;365
6592820;4 pers. roomAmbassador Antwerpen;12559122;Be-Housing;;Stadspark;5.120.939;442.212;Entire home/apt;80;1;4;23/04/2017;0.06;3;365
6593097;6 pers. Ambassador Antwerp;12559122;Be-Housing;;Zurenborg;5.120.954;442.323;Entire home/apt;118;1;0;;;3;365
6594526;8 pers. Room Ambassador Antwerp;12559122;Be-Housing;;Haringrode;5.120.839;442.224;Entire home/apt;150;1;4;23/10/2016;0.06;3;364
6670508;cozy appt in main shopping district;34913046;Laila;;Theaterbuurt-Meir;5.121.915;440.721;Entire home/apt;111;2;184;8/10/2020;2.72;4;363
6672914;Cosy modern studio city-center WIFI & parking;34924663;Astrid;;Eilandje;5.123.095;440.589;Entire home/apt;68;2;39;1/04/2020;0.61;1;293
6700898;Quiet with a view and morning light;33481052;Anne;;Borgerhout Intra Muros Zuid;5.121.458;442.861;Private room;49;2;13;3/12/2019;0.19;5;365
6821808;Appartement near Central Station;6833101;Dorith;;Stuivenberg;5.122.018;442.919;Entire home/apt;64;2;23;27/02/2020;0.35;1;0
6833081;Cosy appartment close to free parking;35491133;Karin;;Zuid;5.120.697;438.598;Entire home/apt;55;3;48;31/10/2020;0.71;2;275
6919227;The Old Charming Lady;4261413;Jackie;;Oud - Berchem;5.120.143;44.329;Private room;45;1;7;21/08/2020;0.11;15;365
6984717;Trendy apartment in city centre;36620632;Fred;;Theaterbuurt-Meir;5.121.019;440.555;Entire home/apt;85;2;12;26/07/2020;0.43;1;37
6988851;Big 1 Bdrm Apt in Hip Marnix Place - Antwerp-Zuid;4371798;Nina;;Zuid;512.115;439.879;Entire home/apt;100;5;30;21/07/2020;0.78;2;337
7027563;Studio aan de rand van Antwerpen;36841645;Ann;;Nieuw - Kwartier West;5.118.986;442.491;Entire home/apt;61;2;22;28/05/2020;0.34;1;183
