id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
119546,BCN HUGEROOM DTOWN PRIVATE BATHROOM.,603336,Kiko,Ciutat Vella,el Raval,41.37969,2.16532,Private room,52,31,316,2020-03-14,2.71,1,365
128463,Private Suite in residential area!!,635253,Sebastian,Sants-Montjuïc,Sants,41.37155,2.13664,Private room,50,3,282,2020-03-14,2.49,1,301
130227,Spacious Room with Pool and Terrace,641496,Dolors,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40646,2.21282,Private room,70,1,107,2020-09-25,1.32,1,356
135513,APARTMENT AT RAMBLA POBLE NOU AND BEACH,664196,Teresa,Sant Martí,el Poblenou,41.39841,2.20613,Entire home/apt,80,2,127,2020-02-28,1.13,1,358
"136670,""double Room -UPC, ESADE, Barça, Real Club Tennis"",610674,Maria,Les Corts,Pedralbes,41.38846,2.12351,Private room,55,30,128,2019-08-27,1.14,5,1"
138055,🌞Apt best views of Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,92,3,90,2019-10-06,1.64,19,0
142121,You clean Barcelona Refuge 2 of 2,620454,Reinhard,Ciutat Vella,el Barri Gòtic,41.38062,2.17465,Entire home/apt,44,31,27,2017-09-20,0.24,3,364
144471,★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,700165,Wonderful Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,41.38379,2.15881,Private room,40,3,36,2019-10-18,0.31,5,90
147275,1 Room INDIVIDUAL in Barcelona,711907,Antuan,Horta-Guinardó,el Guinardó,41.42318,2.17501,Private room,15,4,98,2020-09-24,1.44,1,359
"153376,Single room. central and quite,737399,Omar,Ciutat Vella,""Sant Pere, Santa Caterina i la Ribera"",41.38792,2.17768,Private room,65,2,7,2019-10-11,0.37,1,0"
154437,Charming room  Diagonal wifi 100 Mb,474355,Annais,Eixample,l'Antiga Esquerra de l'Eixample,41.39106,2.1509,Private room,39,7,80,2020-04-06,0.70,1,179
155981,Sunny and comfortable room,750040,Monica,Eixample,la Nova Esquerra de l'Eixample,41.3841,2.14566,Private room,40,2,0,,,1,365
158238,CENTRAL APARTMENT w/TERRASSE,759411,Raquel,Les Corts,les Corts,41.38416,2.13636,Entire home/apt,8000,2,116,2019-08-10,1.01,3,0
162091,✨Cosy Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.4064,2.17449,Entire home/apt,98,2,41,2018-12-09,0.39,19,142
171646,Sagrada Familia Clot Atico - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40696,2.18711,Entire home/apt,125,3,44,2020-01-06,0.48,9,0
171816,Sagrada Familia Clot Vista - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Camp de l'Arpa del Clot,41.40828,2.18622,Entire home/apt,120,3,10,2019-08-21,0.11,9,359
174382,🌟Central Flat near Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.17455,Entire home/apt,129,2,10,2020-12-01,0.83,19,0
179619,Affordable Barcelona for you!,860071,Joan,Sants-Montjuïc,Sants,41.37151,2.13607,Private room,27,3,50,2018-09-28,0.44,3,47
186540,Fully equipped loft near Sagrada Familia,896554,Josep Lluís,Sant Martí,el Clot,41.41076,2.19078,Entire home/apt,36,32,11,2019-12-19,0.21,1,0
186542,Lovely and sunny double room in BCN,896372,Marina,Eixample,la Dreta de l'Eixample,41.39326,2.17386,Private room,33,2,49,2013-06-20,0.43,1,290
188267,SPECIAL OFFER!!! 3 BEDROOM Balconies at center,366654,Watermen Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39368,2.17614,Entire home/apt,196,2,81,2020-03-10,0.72,5,365
190348,Apartment with large terrace,919480,Elisa,Les Corts,Pedralbes,41.39009,2.12588,Private room,46,7,1,2016-06-09,0.02,1,0
